0  0.230685
50  0.224198
100  0.21827
150  0.213195
200  0.207393
250  0.202365
300  0.198207
350  0.193911
400  0.189886
450  0.186577
500  0.182949
550  0.178654
600  0.174324
650  0.170367
700  0.166675
750  0.163446
800  0.160883
850  0.158522
900  0.155785
950  0.153642
1000  0.152131
1050  0.150427
1100  0.148929
1150  0.147685
1200  0.14646
1250  0.145454
1300  0.144618
1350  0.144017
1400  0.143734
1450  0.143792
1500  0.144162
1550  0.144886
1600  0.145913
1650  0.147182
1700  0.148538
1750  0.150234
1800  0.152224
1850  0.15422
1900  0.157299
1950  0.160669
2000  0.164235
2050  0.16928
2100  0.175181
2150  0.182201
2200  0.188232
2250  0.195195
2300  0.203879
2350  0.216076
2400  0.231733
2450  0.247904
2500  0.26347
2550  0.27583
2600  0.288612
2650  0.301545
2700  0.314125
2750  0.324468
2800  0.334475
2850  0.345453
2900  0.356602
2950  0.368237
3000  0.37969
3050  0.392006
3100  0.404128
3150  0.415553
3200  0.425614
3250  0.43524
3300  0.44684
3350  0.457773
3400  0.468081
3450  0.479216
3500  0.491493
3550  0.50435
3600  0.518865
3650  0.531737
3700  0.544911
3750  0.555883
3800  0.566827
3850  0.577749
3900  0.587547
3950  0.598247
4000  0.6076
4050  0.618228
4100  0.62935
4150  0.639724
4200  0.648978
4250  0.655992
4300  0.662026
4350  0.667366
4400  0.672063
4450  0.674663
4500  0.676453
4550  0.676572
4600  0.675237
4650  0.672675
4700  0.668432
4750  0.663136
4800  0.657015
4850  0.649727
4900  0.640697
4950  0.629767
5000  0.618046
5050  0.606694
5100  0.596907
5150  0.585258
5200  0.574671
5250  0.562391
5300  0.55053
5350  0.53722
5400  0.522373
5450  0.506267
5500  0.491662
5550  0.477654
5600  0.464917
5650  0.452713
5700  0.438798
5750  0.426644
5800  0.414408
5850  0.400023
5900  0.38453
5950  0.369384
6000  0.354353
6050  0.338975
6100  0.325063
6150  0.310287
6200  0.290812
6250  0.271495
6300  0.248488
6350  0.220496
6400  0.199677
6450  0.185624
6500  0.171124
6550  0.159793
6600  0.150476
6650  0.141587
6700  0.133052
6750  0.125892
6800  0.118211
6850  0.110302
6900  0.102913
6950  0.0963754
7000  0.0904037
7050  0.0857396
7100  0.081839
7150  0.0784928
7200  0.0754671
7250  0.072692
7300  0.0707541
7350  0.0693611
7400  0.0681291
7450  0.0671198
7500  0.0664133
7550  0.0660411
7600  0.0658151
7650  0.0658307
7700  0.0660808
7750  0.0664942
7800  0.0672354
7850  0.0683247
7900  0.0695792
7950  0.0710022
8000  0.0732024
8050  0.0760288
8100  0.0791131
8150  0.0826966
8200  0.0867705
8250  0.091797
8300  0.0984641
8350  0.104766
8400  0.112309
8450  0.121186
8500  0.12868
8550  0.136303
8600  0.145455
8650  0.153978
8700  0.164418
8750  0.178929
8800  0.192973
8850  0.211867
8900  0.239305
8950  0.266288
9000  0.286888
9050  0.307443
9100  0.324125
9150  0.339156
9200  0.355802
9250  0.372372
9300  0.389221
9350  0.406391
9400  0.421675
9450  0.435029
9500  0.450966
9550  0.465541
9600  0.481168
9650  0.499119
9700  0.519377
9750  0.538929
9800  0.556208
9850  0.574071
9900  0.59091
9950  0.609008
10000  0.631548
10050  0.653884
10100  0.67642
10150  0.691692
10200  0.70707
10250  0.722504
10300  0.738493
10350  0.747479
10400  0.756968
10450  0.767189
10500  0.779427
10550  0.790533
10600  0.79483
10650  0.799291
10700  0.804248
10750  0.80841
10800  0.811314
10850  0.814594
10900  0.816682
10950  0.819004
11000  0.820374
11050  0.820723
11100  0.819639
11150  0.817654
11200  0.815414
11250  0.813183
11300  0.810206
11350  0.807155
11400  0.803066
11450  0.798664
11500  0.794769
11550  0.791333
11600  0.783547
11650  0.772541
11700  0.7643
11750  0.755907
11800  0.748207
11850  0.742268
11900  0.733439
11950  0.720601
12000  0.709624
12050  0.698931
12100  0.689277
12150  0.679214
12200  0.66496
12250  0.651926
12300  0.638469
12350  0.625221
12400  0.611962
12450  0.601163
12500  0.592311
12550  0.582821
12600  0.575488
12650  0.567173
12700  0.559335
12750  0.552715
12800  0.545887
12850  0.539035
12900  0.53183
12950  0.525969
13000  0.520084
13050  0.514352
13100  0.508626
13150  0.504376
13200  0.50075
13250  0.497405
13300  0.494678
13350  0.492418
13400  0.490483
13450  0.488968
13500  0.487846
13550  0.487343
13600  0.487226
13650  0.487513
13700  0.488227
13750  0.489474
13800  0.490985
13850  0.49296
13900  0.495164
13950  0.497786
14000  0.500869
14050  0.504114
14100  0.507867
14150  0.512367
14200  0.517355
14250  0.521969
14300  0.527206
14350  0.531747
14400  0.537401
14450  0.542832
14500  0.547853
14550  0.553143
14600  0.557722
14650  0.562984
14700  0.568387
14750  0.573988
14800  0.578843
14850  0.58324
14900  0.588634
14950  0.594156
15000  0.599097
15050  0.602951
15100  0.608115
15150  0.612928
15200  0.617677
15250  0.622951
15300  0.626842
15350  0.630216
15400  0.633331
15450  0.635971
15500  0.637868
15550  0.639034
15600  0.639506
15650  0.639243
15700  0.638362
15750  0.636715
15800  0.634319
15850  0.630926
15900  0.627292
15950  0.623031
16000  0.617008
16050  0.611444
16100  0.605598
16150  0.600177
16200  0.594249
16250  0.587349
16300  0.580697
16350  0.574045
16400  0.566
16450  0.558133
16500  0.550286
16550  0.54178
16600  0.531577
16650  0.521752
16700  0.510553
16750  0.500172
16800  0.490109
16850  0.480311
16900  0.471583
16950  0.462927
17000  0.454478
17050  0.44546
17100  0.435921
17150  0.427794
17200  0.419927
17250  0.411089
17300  0.401498
17350  0.391439
17400  0.381541
